benchmark_version,source,target,migration_count,track,variants_evaluated,true_positives,false_positives,false_negatives,precision,recall,skip_count_total
2.2.5,requests,aiohttp,8,fault-inject,76,87,0,0,1.0,1.0,15
2.2.5,argparse,click,17,fault-inject,119,148,0,30,1.0,0.8314606741573034,31
2.2.5,argparse,configargparse,1,fault-inject,0,0,0,0,,,1
2.2.5,argparse,docopt,3,fault-inject,8,16,0,0,1.0,1.0,1
2.2.5,flask,bottle,1,fault-inject,1,1,0,0,1.0,1.0,2
2.2.5,flask,fastapi,2,fault-inject,4,8,0,0,1.0,1.0,2
2.2.5,flask,quart,6,fault-inject,49,69,0,5,1.0,0.9324324324324325,11
