benchmark_version,source,target,migration_count,track,files_evaluated,true_positives,false_positives,false_negatives,precision,recall,skip_count_total
2.2.5,requests,aiohttp,8,pre-leftover,11,20,0,0,1.0,1.0,2
2.2.5,argparse,click,17,pre-leftover,30,61,0,3,1.0,0.953125,0
2.2.5,argparse,configargparse,1,pre-leftover,0,0,0,0,,,1
2.2.5,argparse,docopt,3,pre-leftover,3,6,0,0,1.0,1.0,0
2.2.5,flask,bottle,1,pre-leftover,1,5,0,3,1.0,0.625,0
2.2.5,flask,fastapi,2,pre-leftover,2,4,0,1,1.0,0.8,0
2.2.5,flask,quart,6,pre-leftover,10,58,0,21,1.0,0.7341772151898734,0
