benchmark_version,source,target,migration_count,track,files_evaluated,clean_files,files_with_diagnostics,false_positive_diagnostics,clean_file_rate,skip_count_total
2.2.5,requests,aiohttp,8,clean-post,13,11,2,3,0.8461538461538461,0
2.2.5,argparse,click,17,clean-post,30,20,10,16,0.6666666666666666,0
2.2.5,argparse,configargparse,1,clean-post,0,0,0,0,,1
2.2.5,argparse,docopt,3,clean-post,3,3,0,0,1.0,0
2.2.5,flask,bottle,1,clean-post,1,1,0,0,1.0,0
2.2.5,flask,fastapi,2,clean-post,2,2,0,0,1.0,0
2.2.5,flask,quart,6,clean-post,10,9,1,1,0.9,0
